obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""""","=""""","=""410.285985517""","=""0.000000022""","=""""","=""24373.2429403""","=""""","=""4.2877e+06""","=""2.1641e-02""","=""5.8463e-01""","=""-1.36368""",AAA,"=""0.749598426045""","=""[0.971703758118]""","=""2p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",2,4,,
"=""""","=""""","=""410.286191087""","=""0.000000013""","=""""","=""24373.2307283""","=""""","=""2.4501e+05""","=""6.1832e-04""","=""1.6704e-02""","=""-2.90775""",AAA,"=""0.749598426045""","=""0.971703646834""","=""2p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,
"=""""","=""""","=""410.28632""","=""0.00010""","=""""","=""24373.223""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""410.286503488""","=""0.000000006""","=""410.286503481""","=""0.000000007""","=""0.000000007""","=""24373.2121704""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""0.971703799272""","=""2s""","=""2S""","=""1/2""","=""6d""","=""2D""","=""5/2""",2,6,E2,
"=""""","=""""","=""410.286579132""","=""0.000000022""","=""""","=""24373.2076763""","=""""","=""2.8583e+06""","=""1.4427e-02""","=""3.8973e-01""","=""-1.53980""",AAA,"=""0.7495987475945""","=""[0.971703758319]""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,
"=""410.286785081""","=""0.000000012""","=""410.286785074""","=""0.000000012""","=""0.000000007""","=""24373.1954423""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""0.971703646834""","=""2s""","=""2S""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,M1,
"=""""","=""""","=""410.286807250""","=""0.000000017""","=""""","=""24373.1941249""","=""""","=""2.8584e+06""","=""7.2136e-03""","=""1.9487e-01""","=""-1.84082""",AAA,"=""0.7495987475945""","=""[0.971703634829]""","=""2s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,
"=""410.2892""","=""0.0006""","=""410.28991""","=""0.00024""","=""-0.0007""","=""24373.05""","=""70000""","=""9.7320e+05""","=""2.2105e-02""","=""2.3886e+00""","=""-0.75243""",AAA,"=""0.74960060""","=""0.971703813""","=""2""","=""""","=""""","=""6""","=""""","=""""",8,72,,
"=""""","=""""","=""410.28922""","=""0.00010""","=""""","=""24373.051""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""410.292068748""","=""0.000000008""","=""""","=""24372.8815683""","=""""","=""5.1450e+06""","=""1.9477e-02""","=""1.0523e+00""","=""-1.10842""",AAA,"=""0.749601760263""","=""0.971703799272""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",4,6,,
"=""""","=""""","=""410.29208""","=""0.00003""","=""""","=""24372.8810""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""410.292144772""","=""0.000000022""","=""""","=""24372.8770522""","=""""","=""8.5748e+05""","=""2.1641e-03""","=""1.1692e-01""","=""-2.06267""",AAA,"=""0.749601760263""","=""[0.971703758118]""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",4,4,,
"=""""","=""""","=""410.292350348""","=""0.000000013""","=""""","=""24372.8648402""","=""""","=""4.9006e+05""","=""6.1839e-04""","=""3.3411e-02""","=""-2.60668""",AAA,"=""0.749601760263""","=""0.971703646834""","=""2p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",4,2,,
"=""""","=""""","=""434.1647191""","=""0.0000004""","=""""","=""23032.732880""","=""""","=""7.8548e+06""","=""4.4395e-02""","=""1.2691e+00""","=""-1.05164""",AAA,"=""0.749598426045""","=""0.95948813163""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",2,4,,
"=""""","=""""","=""434.16512""","=""0.00011""","=""""","=""23032.712""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""434.1651159""","=""0.0000008""","=""""","=""23032.71183""","=""""","=""4.2955e+05""","=""1.2139e-03""","=""3.4701e-02""","=""-2.61479""",AAA,"=""0.749598426045""","=""[0.9594879398]""","=""2p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",2,2,,
"=""""","=""""","=""434.1653824""","=""0.0000008""","=""""","=""23032.69769""","=""""","=""4.9483e+06""","=""2.7967e-02""","=""7.9949e-01""","=""-1.25232""",AAA,"=""0.7495987475945""","=""0.9594881325""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,
"=""""","=""""","=""434.1657811""","=""0.0000008""","=""""","=""23032.67654""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""[0.9594879398]""","=""2s""","=""2S""","=""1/2""","=""5s""","=""2S""","=""1/2""",2,2,M1,
"=""""","=""""","=""434.1658238""","=""0.0000008""","=""""","=""23032.67427""","=""""","=""4.9484e+06""","=""1.3984e-02""","=""3.9975e-01""","=""-1.55334""",AAA,"=""0.7495987475945""","=""0.9594879191""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,
"=""""","=""""","=""434.16837""","=""0.00011""","=""""","=""23032.539""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""434.1692""","=""0.0006""","=""434.1691""","=""0.0003""","=""0.0001""","=""23032.49""","=""90000""","=""2.5304e+06""","=""4.4694e-02""","=""5.1106e+00""","=""-0.44666""",AAA,"=""0.74960060""","=""0.95948818""","=""2""","=""""","=""""","=""5""","=""""","=""""",8,50,,
"=""""","=""""","=""434.1714690""","=""0.0000004""","=""""","=""23032.374795""","=""""","=""9.4254e+06""","=""3.9955e-02""","=""2.2844e+00""","=""-0.79637""",AAA,"=""0.749601760263""","=""[0.95948820273]""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",4,6,,
"=""""","=""""","=""434.17150""","=""0.00004""","=""""","=""23032.3733""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""434.1716161""","=""0.0000004""","=""""","=""23032.366992""","=""""","=""1.5709e+06""","=""4.4395e-03""","=""2.5382e-01""","=""-1.75061""",AAA,"=""0.749601760263""","=""0.95948813163""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",4,4,,
"=""""","=""""","=""434.1720130""","=""0.0000008""","=""""","=""23032.34594""","=""""","=""8.5920e+05""","=""1.2141e-03""","=""6.9413e-02""","=""-2.31369""",AAA,"=""0.749601760263""","=""[0.9594879398]""","=""2p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",4,2,,
"=""""","=""""","=""486.26365622""","=""0.00000019""","=""""","=""20564.975137""","=""""","=""1.7188e+07""","=""1.2186e-01""","=""3.9015e+00""","=""-0.61311""",AAA,"=""0.749598426045""","=""0.93700026843""","=""2p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",2,4,,
"=""486.264130267""","=""0.000000019""","=""486.264130279""","=""0.000000019""","=""-0.000000012""","=""20564.9550877""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""0.937000407277""","=""2s""","=""2S""","=""1/2""","=""4d""","=""2D""","=""5/2""",2,6,E2,
"=""""","=""""","=""486.26420""","=""0.00014""","=""""","=""20564.952""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""486.264488953""","=""0.000000008""","=""486.264488968""","=""0.000000007""","=""-0.000000015""","=""20564.9399183""","=""""","=""9.6680e+06""","=""6.8544e-02""","=""2.1946e+00""","=""-0.86300""",AAA,"=""0.7495987475945""","=""0.937000269041""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,
"=""""","=""""","=""486.264631087""","=""0.000000009""","=""""","=""20564.9339078""","=""""","=""8.5941e+05""","=""3.0465e-03""","=""9.7540e-02""","=""-2.21517""",AAA,"=""0.749598426045""","=""0.936999892721""","=""2p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",2,2,,
"=""486.265465422""","=""0.000000008""","=""486.265465437""","=""0.000000007""","=""-0.000000015""","=""20564.8986218""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""0.936999892721""","=""2s""","=""2S""","=""1/2""","=""4s""","=""2S""","=""1/2""",2,2,M1,
"=""486.265570377""","=""0.000000012""","=""486.265570389""","=""0.000000012""","=""-0.000000012""","=""20564.8941832""","=""""","=""9.6682e+06""","=""3.4273e-02""","=""1.0973e+00""","=""-1.16402""",AAA,"=""0.7495987475945""","=""0.936999852273""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,
"=""""","=""""","=""486.26830""","=""0.00014""","=""""","=""20564.779""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""486.271""","=""0.005""","=""486.2691""","=""0.0003""","=""0.002""","=""20564.67""","=""180000""","=""8.4193e+06""","=""1.1938e-01""","=""1.5289e+01""","=""-0.01996""",AAA,"=""0.74960060""","=""0.93700036""","=""2""","=""""","=""""","=""4""","=""""","=""""",8,32,,
"=""""","=""""","=""486.271947584""","=""0.000000024""","=""""","=""20564.6244857""","=""""","=""2.0625e+07""","=""1.0967e-01""","=""7.0229e+00""","=""-0.35784""",AAA,"=""0.749601760263""","=""0.937000407277""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",4,6,,
"=""""","=""""","=""486.27202""","=""0.00005""","=""""","=""20564.6216""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""486.27230788""","=""0.00000019""","=""""","=""20564.609249""","=""""","=""3.4375e+06""","=""1.2186e-02""","=""7.8032e-01""","=""-1.31208""",AAA,"=""0.749601760263""","=""0.93700026843""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",4,4,,
"=""""","=""""","=""486.273282785""","=""0.000000012""","=""""","=""20564.5680197""","=""""","=""1.7190e+06""","=""3.0469e-03""","=""1.9511e-01""","=""-1.91408""",AAA,"=""0.749601760263""","=""0.936999892721""","=""2p""","=""2P*""","=""3/2""","=""4s""","=""2S""","=""1/2""",4,2,,
"=""656.4522552""","=""0.0000024""","=""656.4522556""","=""0.0000009""","=""-0.0000004""","=""15233.40033""","=""""","=""5.3877e+07""","=""6.9614e-01""","=""3.0089e+01""","=""0.14373""",AAA,"=""0.749598426045""","=""0.88841538384""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",2,4,,
"=""""","=""""","=""656.4527""","=""0.0004""","=""""","=""15233.390""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""656.4535""","=""0.0009""","=""""","=""15233.372""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""656.4537684""","=""0.0000004""","=""656.4537685""","=""0.0000003""","=""-0.0000001""","=""15233.365214""","=""""","=""2.2448e+07""","=""2.9005e-01""","=""1.2537e+01""","=""-0.23650""",AAA,"=""0.7495987475945""","=""0.88841538546""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",2,4,,
"=""""","=""""","=""656.4564672""","=""0.0000003""","=""""","=""15233.302588""","=""""","=""2.1046e+06""","=""1.3597e-02""","=""5.8769e-01""","=""-1.56553""",AAA,"=""0.749598426045""","=""0.88841449324""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,,
"=""""","=""""","=""656.4579878""","=""0.0000003""","=""""","=""15233.267302""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""0.88841449324""","=""2s""","=""2S""","=""1/2""","=""3s""","=""2S""","=""1/2""",2,2,M1,
"=""""","=""""","=""656.4583""","=""0.0006""","=""""","=""15233.260""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""656.4584404""","=""0.0000004""","=""656.4584403""","=""0.0000003""","=""0.0000001""","=""15233.256799""","=""""","=""2.2449e+07""","=""1.4503e-01""","=""6.2687e+00""","=""-0.53750""",AAA,"=""0.7495987475945""","=""0.88841439755""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",2,2,,
"=""656.460""","=""0.003""","=""656.4632""","=""0.0007""","=""-0.003""","=""15233.21""","=""500000""","=""4.4101e+07""","=""6.4108e-01""","=""1.1084e+02""","=""0.71000""",AAA,"=""0.74960060""","=""0.88841524""","=""2""","=""""","=""""","=""3""","=""""","=""""",8,18,,
"=""""","=""""","=""656.4608""","=""0.0009""","=""""","=""15233.202""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""656.466464""","=""0.000006""","=""656.4664660""","=""0.0000003""","=""-0.000002""","=""15233.07061""","=""""","=""6.4651e+07""","=""6.2654e-01""","=""5.4162e+01""","=""0.39901""",AAA,"=""0.749601760263""","=""0.88841571311""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",4,6,,
"=""""","=""""","=""656.46662""","=""0.00003""","=""""","=""15233.0670""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""656.4667""","=""0.0003""","=""""","=""15233.065""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""656.4680232""","=""0.0000009""","=""""","=""15233.034432""","=""""","=""1.0775e+07""","=""6.9615e-02""","=""6.0180e+00""","=""-0.55524""",AAA,"=""0.749601760263""","=""0.88841538384""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",4,4,,
"=""""","=""""","=""656.4722349""","=""0.0000003""","=""""","=""15232.936700""","=""""","=""4.2097e+06""","=""1.3599e-02""","=""1.1756e+00""","=""-1.26443""",AAA,"=""0.749601760263""","=""0.88841449324""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",4,2,,
"=""825.226""","=""0.010""","=""825.2242""","=""0.0005""","=""0.002""","=""12117.90""","=""90""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.998841848]""","=""3""","=""""","=""""","=""40""","=""""","=""""",18,3200,,
"=""825.456""","=""0.010""","=""825.4667""","=""0.0005""","=""-0.011""","=""12114.52""","=""90""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.998809403]""","=""3""","=""""","=""""","=""39""","=""""","=""""",18,3042,,
"=""825.726""","=""0.010""","=""825.7288""","=""0.0005""","=""-0.003""","=""12110.56""","=""90""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.998774364]""","=""3""","=""""","=""""","=""38""","=""""","=""""",18,2888,,
"=""826.016""","=""0.010""","=""826.0126""","=""0.0005""","=""0.003""","=""12106.30""","=""110""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.998736445]""","=""3""","=""""","=""""","=""37""","=""""","=""""",18,2738,,
"=""826.316""","=""0.010""","=""826.3206""","=""0.0005""","=""-0.005""","=""12101.91""","=""110""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.998695323]""","=""3""","=""""","=""""","=""36""","=""""","=""""",18,2592,,
"=""826.655""","=""0.003""","=""826.6557""","=""0.0005""","=""-0.001""","=""12096.94""","=""110""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.998650626]""","=""3""","=""""","=""""","=""35""","=""""","=""""",18,2450,,
"=""827.021""","=""0.003""","=""827.0210""","=""0.0005""","=""0.000""","=""12091.59""","=""110""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.998601927]""","=""3""","=""""","=""""","=""34""","=""""","=""""",18,2312,,
"=""827.421""","=""0.003""","=""827.4205""","=""0.0005""","=""0.001""","=""12085.74""","=""140""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.998548734]""","=""3""","=""""","=""""","=""33""","=""""","=""""",18,2178,,
"=""827.859""","=""0.003""","=""827.8584""","=""0.0005""","=""0.001""","=""12079.34""","=""140""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.998490477]""","=""3""","=""""","=""""","=""32""","=""""","=""""",18,2048,,
"=""828.341""","=""0.003""","=""828.3399""","=""0.0005""","=""0.001""","=""12072.33""","=""140""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.998426492]""","=""3""","=""""","=""""","=""31""","=""""","=""""",18,1922,,
"=""828.870""","=""0.003""","=""828.8710""","=""0.0005""","=""-0.001""","=""12064.62""","=""140""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.998356002]""","=""3""","=""""","=""""","=""30""","=""""","=""""",18,1800,,
"=""829.458""","=""0.003""","=""829.4588""","=""0.0006""","=""-0.001""","=""12056.07""","=""170""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.998278095]""","=""3""","=""""","=""""","=""29""","=""""","=""""",18,1682,,
"=""830.111""","=""0.003""","=""830.1116""","=""0.0006""","=""-0.001""","=""12046.58""","=""210""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.998191692]""","=""3""","=""""","=""""","=""28""","=""""","=""""",18,1568,,
"=""830.838""","=""0.003""","=""830.8395""","=""0.0006""","=""-0.001""","=""12036.04""","=""250""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.998095512]""","=""3""","=""""","=""""","=""27""","=""""","=""""",18,1458,,
"=""831.655""","=""0.003""","=""831.6546""","=""0.0006""","="" 0.000""","=""12024.22""","=""290""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.997988023]""","=""3""","=""""","=""""","=""26""","=""""","=""""",18,1352,,
"=""832.571""","=""0.003""","=""832.5713""","=""0.0006""","=""-0.001""","=""12010.99""","=""290""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.997867378]""","=""3""","=""""","=""""","=""25""","=""""","=""""",18,1250,,
"=""833.607""","=""0.003""","=""833.6074""","=""0.0006""","="" 0.000""","=""11996.06""","=""370""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.997731342]""","=""3""","=""""","=""""","=""24""","=""""","=""""",18,1152,,
"=""834.783""","=""0.003""","=""834.7846""","=""0.0006""","=""-0.001""","=""11979.16""","=""500""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.997577177]""","=""3""","=""""","=""""","=""23""","=""""","=""""",18,1058,,
"=""836.130""","=""0.003""","=""836.1301""","=""0.0006""","="" 0.000""","=""11959.87""","=""500""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.997401516]""","=""3""","=""""","=""""","=""22""","=""""","=""""",18,968,,
"=""837.678""","=""0.003""","=""837.6777""","=""0.0006""","=""0.000""","=""11937.76""","=""600""","=""""","=""""","=""""","=""""",,"=""0.88841524""","=""[0.997200168]""","=""3""","=""""","=""""","=""21""","=""""","=""""",18,882,,
"=""839.471""","=""0.003""","=""839.4703""","=""0.0006""","=""0.000""","=""11912.27""","=""700""","=""1.5167e+03""","=""7.1215e-04""","=""3.5426e-01""","=""-1.89215""",AAA,"=""0.88841524""","=""[0.996967867]""","=""3""","=""""","=""""","=""20""","=""""","=""""",18,800,,
"=""841.563""","=""0.003""","=""841.5630""","=""0.0006""","=""0.000""","=""11882.65""","=""700""","=""1.9643e+03""","=""8.3653e-04""","=""4.1716e-01""","=""-1.82225""",AAA,"=""0.88841524""","=""[0.996697931]""","=""3""","=""""","=""""","=""19""","=""""","=""""",18,722,,
"=""844.027""","=""0.003""","=""844.0274""","=""0.0006""","=""-0.001""","=""11847.96""","=""700""","=""2.5804e+03""","=""9.9207e-04""","=""4.9618e-01""","=""-1.74819""",AAA,"=""0.88841524""","=""[0.996381766]""","=""3""","=""""","=""""","=""18""","=""""","=""""",18,648,,
"=""846.959""","=""0.003""","=""846.9581""","=""0.0006""","=""0.001""","=""11806.95""","=""700""","=""3.4442e+03""","=""1.1893e-03""","=""5.9690e-01""","=""-1.66943""",AAA,"=""0.88841524""","=""[0.996008181]""","=""3""","=""""","=""""","=""17""","=""""","=""""",18,578,,
"=""850.483""","=""0.003""","=""850.4819""","=""0.0006""","=""0.001""","=""11758.03""","=""(1200)""","=""4.6801e+03""","=""1.4435e-03""","=""7.2748e-01""","=""-1.58531""",AAA,"=""0.88841524""","=""[0.995562381]""","=""3""","=""""","=""""","=""16""","=""""","=""""",18,512,,
"=""854.773""","=""0.003""","=""854.7731""","=""0.0006""","="" 0.000""","=""11699.02""","=""(1400)""","=""6.4901e+03""","=""1.7772e-03""","=""9.0015e-01""","=""-1.49500""",AAA,"=""0.88841524""","=""[0.995024479]""","=""3""","=""""","=""""","=""15""","=""""","=""""",18,450,,
"=""860.075""","=""0.003""","=""860.0754""","=""0.0006""","="" 0.000""","=""11626.89""","=""2300""","=""9.2117e+03""","=""2.2246e-03""","=""1.1338e+00""","=""-1.39747""",AAA,"=""0.88841524""","=""[0.994367240]""","=""3""","=""""","=""""","=""14""","=""""","=""""",18,392,,
"=""866.740""","=""0.003""","=""866.7398""","=""0.0006""","=""0.000""","=""11537.49""","=""(2200)""","=""1.3431e+04""","=""2.8402e-03""","=""1.4587e+00""","=""-1.29138""",AAA,"=""0.88841524""","=""[0.993552563]""","=""3""","=""""","=""""","=""13""","=""""","=""""",18,338,,
"=""875.286""","=""0.003""","=""875.2876""","=""0.0005""","=""-0.001""","=""11424.83""","=""2200""","=""2.0207e+04""","=""3.7133e-03""","=""1.9260e+00""","=""-1.17497""",AAA,"=""0.88841524""","=""0.992525835""","=""3""","=""""","=""""","=""12""","=""""","=""""",18,288,,
"=""886.532""","=""0.010""","=""886.5216""","=""0.0006""","=""0.011""","=""11279.90""","=""(3600)""","=""3.1558e+04""","=""4.9988e-03""","=""2.6260e+00""","=""-1.04586""",AAA,"=""0.88841524""","=""0.991206536""","=""3""","=""""","=""""","=""11""","=""""","=""""",18,242,,
"=""901.78""","=""0.10""","=""901.7384""","=""0.0007""","=""0.04""","=""11089.2""","=""(4800)""","=""5.1558e+04""","=""6.9831e-03""","=""3.7313e+00""","=""-0.90068""",AAA,"=""0.88841524""","=""0.989471939""","=""3""","=""""","=""""","=""10""","=""""","=""""",18,200,,
"=""923.22""","=""0.10""","=""923.1546""","=""0.0007""","=""0.07""","=""10831.6""","=""(6500)""","=""8.9050e+04""","=""1.0239e-02""","=""5.6011e+00""","=""-0.73447""",AAA,"=""0.88841524""","=""0.987127529""","=""3""","=""""","=""""","=""9""","=""""","=""""",18,162,,
"=""954.88""","=""0.10""","=""954.8588""","=""0.0006""","=""0.02""","=""10472.5""","=""(9000)""","=""1.6506e+05""","=""1.6044e-02""","=""9.0777e+00""","=""-0.53943""",AAA,"=""0.88841524""","=""0.983849989""","=""3""","=""""","=""""","=""8""","=""""","=""""",18,128,,
"=""1005.26""","=""0.10""","=""1005.2123""","=""0.0007""","=""0.04""","=""9947.7""","=""(13000)""","=""3.3585e+05""","=""2.7700e-02""","=""1.6500e+01""","=""-0.30225""",AAA,"=""0.88841524""","=""0.979069427""","=""3""","=""""","=""""","=""7""","=""""","=""""",18,98,,
"=""""","=""""","=""1094.0977868""","=""0.0000008""","=""""","=""9139.950854""","=""""","=""1.5649e+06""","=""5.6168e-02""","=""4.0462e+00""","=""-0.94948""",AAA,"=""0.88841439755""","=""[0.971703758118]""","=""3p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",2,4,,
"=""""","=""""","=""1094.0990411""","=""0.0000008""","=""""","=""9139.940375""","=""""","=""9.5508e+05""","=""3.4280e-02""","=""2.4695e+00""","=""-1.16393""",AAA,"=""0.88841449324""","=""[0.971703758319]""","=""3s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,
"=""""","=""""","=""1094.0992486""","=""0.0000008""","=""""","=""9139.938642""","=""""","=""1.6906e+05""","=""3.0340e-03""","=""2.1856e-01""","=""-2.21696""",AAA,"=""0.88841439755""","=""0.971703646834""","=""3p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,
"=""""","=""""","=""1094.1006633""","=""0.0000008""","=""""","=""9139.926823""","=""""","=""9.5511e+05""","=""1.7141e-02""","=""1.2348e+00""","=""-1.46495""",AAA,"=""0.88841449324""","=""[0.971703634829]""","=""3s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,
"=""""","=""""","=""1094.1102026""","=""0.0000024""","=""""","=""9139.847135""","=""""","=""2.0030e+06""","=""5.3920e-02""","=""7.7687e+00""","=""-0.66619""",AAA,"=""0.88841538384""","=""(0.9717037992530)""","=""3d""","=""2D""","=""3/2""","=""6f""","=""2F*""","=""5/2""",4,6,,
"=""""","=""""","=""1094.1102236""","=""0.0000008""","=""""","=""9139.846959""","=""""","=""1.8778e+06""","=""5.0550e-02""","=""7.2831e+00""","=""-0.69422""",AAA,"=""0.88841538546""","=""0.971703799272""","=""3p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",4,6,,
"=""""","=""""","=""1094.1107403""","=""0.0000024""","=""""","=""9139.842643""","=""""","=""7.8242e+03""","=""1.4042e-04""","=""2.0231e-02""","=""-3.25052""",AAA,"=""0.88841538384""","=""[0.971703758319]""","=""3d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""3/2""",4,4,,
"=""""","=""""","=""1094.1107643""","=""0.0000008""","=""""","=""9139.842443""","=""""","=""3.1296e+05""","=""5.6165e-03""","=""8.0922e-01""","=""-1.64847""",AAA,"=""0.88841538546""","=""[0.971703758118]""","=""3p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",4,4,,
"=""""","=""""","=""1094.1122261""","=""0.0000008""","=""""","=""9139.830231""","=""""","=""3.3815e+05""","=""3.0343e-03""","=""4.3718e-01""","=""-1.91588""",AAA,"=""0.88841538546""","=""0.971703646834""","=""3p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",4,2,,
"=""""","=""""","=""1094.1123625""","=""0.0000024""","=""""","=""9139.829091""","=""""","=""7.8253e+04""","=""7.0219e-04""","=""1.0117e-01""","=""-2.55149""",AAA,"=""0.88841538384""","=""[0.971703634829]""","=""3d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""1/2""",4,2,,
"=""""","=""""","=""1094.1142576""","=""0.0000008""","=""""","=""9139.813260""","=""""","=""2.1460e+06""","=""5.1351e-02""","=""1.1098e+01""","=""-0.51130""",AAA,"=""0.88841571311""","=""(0.9717038198343)""","=""3d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""7/2""",6,8,,
