element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
O,2,"=""""","=""""","=""203.5801""","=""""","=""""","=""3.73e+05""","=""2.32e-04""","=""6.22e-03""",E,"=""1.9372974""","=""2.3847745""","=""2s.2p4""","=""2P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""",4,4,,"=""T5723LS""","=""""",
O,3,"=""""","=""""","=""203.7450""","=""""","=""""","=""2.26e+06""","=""4.22e-03""","=""2.83e-02""",D,"=""3.2508204""","=""3.6979354""","=""2s2.2p.(2P*).4s""","=""3P*""","=""0""","=""2s.2p2.(4P).3d""","=""3D""","=""1""",1,3,,"=""T5376LS""","=""""",
O,3,"=""""","=""""","=""204.0769""","=""""","=""""","=""3.04e+06""","=""3.17e-03""","=""6.38e-02""",C,"=""3.2518107""","=""3.6981985""","=""2s2.2p.(2P*).4s""","=""3P*""","=""1""","=""2s.2p2.(4P).3d""","=""3D""","=""2""",3,5,,"=""T5376LS""","=""""",
O,4,"=""""","=""""","=""204.145""","=""""","=""""","=""1.91e+07""","=""1.79e-02""","=""4.82e-01""",B,"=""4.98760""","=""5.43384""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""","=""2s.2p.(3P*).4d""","=""2F*""","=""5/2""",4,6,,"=""T5109LS""","=""""",
O,3,"=""""","=""""","=""204.1973""","=""""","=""""","=""1.69e+06""","=""1.06e-03""","=""2.13e-02""",D,"=""3.2518107""","=""3.6979354""","=""2s2.2p.(2P*).4s""","=""3P*""","=""1""","=""2s.2p2.(4P).3d""","=""3D""","=""1""",3,3,,"=""T5376LS""","=""""",
O,3,"=""""","=""""","=""204.228""","=""""","=""""","=""2.18e+07""","=""2.27e-02""","=""4.59e-01""",C+,"=""3.3327475""","=""3.77881""","=""2s2.2p.(2P*).4p""","=""1P""","=""1""","=""2s2.2p.(2P*).6d""","=""1D*""","=""2""",3,5,,"=""T5376""","=""""",
O,4,"=""""","=""""","=""204.266""","=""""","=""""","=""1.36e+06""","=""8.51e-04""","=""3.44e-02""",B,"=""4.98787""","=""5.43384""","=""2s.2p.(1P*).3p""","=""2D""","=""5/2""","=""2s.2p.(3P*).4d""","=""2F*""","=""5/2""",6,6,,"=""T5109LS""","=""""",
O,2,"=""""","=""""","=""204.2809""","=""""","=""""","=""1.85e+06""","=""2.32e-03""","=""3.12e-02""",D,"=""1.9388323""","=""2.3847745""","=""2s.2p4""","=""2P""","=""1/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""",2,4,,"=""T5723LS""","=""""",
O,3,"=""204.567""","=""""","=""""","=""""","=""220""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3481""",
O,3,"=""""","=""""","=""205.0080""","=""""","=""""","=""4.00e+06""","=""3.53e-03""","=""1.19e-01""",C,"=""3.2542896""","=""3.6986504""","=""2s2.2p.(2P*).4s""","=""3P*""","=""2""","=""2s.2p2.(4P).3d""","=""3D""","=""3""",5,7,,"=""T5376LS""","=""""",
O,3,"=""""","=""""","=""205.2167""","=""""","=""""","=""9.97e+05""","=""6.30e-04""","=""2.13e-02""",D,"=""3.2542896""","=""3.6981985""","=""2s2.2p.(2P*).4s""","=""3P*""","=""2""","=""2s.2p2.(4P).3d""","=""3D""","=""2""",5,5,,"=""T5376LS""","=""""",
O,3,"=""205.274""","=""""","=""""","=""""","=""160""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,"=""""","=""L3481""",
O,3,"=""""","=""""","=""205.309""","=""""","=""""","=""3.97e+06""","=""2.51e-03""","=""5.09e-02""",C,"=""3.3396885""","=""3.78340""","=""2s2.2p.(2P*).4p""","=""3D""","=""1""","=""2s2.2p.(2P*).6d""","=""3D*""","=""1""",3,3,,"=""T5376LS""","=""""",
O,3,"=""""","=""""","=""205.309""","=""""","=""""","=""7.93e+05""","=""8.36e-04""","=""1.70e-02""",D,"=""3.3396885""","=""3.78340""","=""2s2.2p.(2P*).4p""","=""3D""","=""1""","=""2s2.2p.(2P*).6d""","=""3D*""","=""2""",3,5,,"=""T5376LS""","=""""",
O,3,"=""""","=""""","=""205.3385""","=""""","=""""","=""1.11e+05""","=""4.21e-05""","=""1.42e-03""",D,"=""3.2542896""","=""3.6979354""","=""2s2.2p.(2P*).4s""","=""3P*""","=""2""","=""2s.2p2.(4P).3d""","=""3D""","=""1""",5,3,,"=""T5376LS""","=""""",
O,3,"=""""","=""""","=""205.762""","=""""","=""""","=""3.66e+06""","=""2.32e-03""","=""7.88e-02""",C,"=""3.3406664""","=""3.78340""","=""2s2.2p.(2P*).4p""","=""3D""","=""2""","=""2s2.2p.(2P*).6d""","=""3D*""","=""2""",5,5,,"=""T5376LS""","=""""",
O,3,"=""""","=""""","=""205.762""","=""""","=""""","=""1.31e+06""","=""4.99e-04""","=""1.69e-02""",D,"=""3.3406664""","=""3.78340""","=""2s2.2p.(2P*).4p""","=""3D""","=""2""","=""2s2.2p.(2P*).6d""","=""3D*""","=""1""",5,3,,"=""T5376LS""","=""""",
O,3,"=""""","=""""","=""205.762""","=""""","=""""","=""5.85e+05""","=""5.20e-04""","=""1.76e-02""",D,"=""3.3406664""","=""3.78340""","=""2s2.2p.(2P*).4p""","=""3D""","=""2""","=""2s2.2p.(2P*).6d""","=""3D*""","=""3""",5,7,,"=""T5376LS""","=""""",
O,3,"=""""","=""""","=""206.642""","=""""","=""""","=""4.61e+06""","=""2.95e-03""","=""1.41e-01""",C,"=""3.3425514""","=""3.78340""","=""2s2.2p.(2P*).4p""","=""3D""","=""3""","=""2s2.2p.(2P*).6d""","=""3D*""","=""3""",7,7,,"=""T5376LS""","=""""",
O,3,"=""""","=""""","=""206.642""","=""""","=""""","=""8.09e+05""","=""3.70e-04""","=""1.76e-02""",D,"=""3.3425514""","=""3.78340""","=""2s2.2p.(2P*).4p""","=""3D""","=""3""","=""2s2.2p.(2P*).6d""","=""3D*""","=""2""",7,5,,"=""T5376LS""","=""""",
O,2,"=""207.22""","=""""","=""207.2255""","=""""","=""12bl""","=""3.30e+06""","=""1.42e-03""","=""5.80e-02""",C+,"=""1.5125981""","=""1.95220440""","=""2s.2p4""","=""2D""","=""5/2""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""",6,4,,"=""T6172n""","=""L10549""",
O,2,"=""207.2601""","=""""","=""207.2601""","=""""","=""5""","=""3.61e+05""","=""2.33e-04""","=""6.35e-03""",C+,"=""1.5126714""","=""1.95220440""","=""2s.2p4""","=""2D""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2P*""","=""3/2""",4,4,,"=""T6172n""","=""L10549""",
O,2,"=""207.4104""","=""""","=""207.4133""","=""""","=""8""","=""""","=""""","=""""",,"=""2.0954319""","=""2.5346403""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).5s""","=""2D""","=""5/2""",6,6,,"=""""","=""L10549""",
O,2,"=""""","=""""","=""207.4145""","=""""","=""""","=""""","=""""","=""""",,"=""2.0954319""","=""2.5346376?""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).5s""","=""2D""","=""3/2""",6,4,,"=""""","=""L11267""",
O,2,"=""""","=""""","=""207.5053""","=""""","=""""","=""""","=""""","=""""",,"=""2.0956266""","=""2.5346403""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).5s""","=""2D""","=""5/2""",4,6,,"=""""","=""L11267""",
O,2,"=""207.5058""","=""""","=""207.5065""","=""""","=""8""","=""""","=""""","=""""",,"=""2.0956266""","=""2.5346376?""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).5s""","=""2D""","=""3/2""",4,4,,"=""""","=""L10549""",
O,2,"=""207.5169""","=""""","=""207.5172""","=""""","=""12""","=""3.55e+06""","=""1.15e-03""","=""3.13e-02""",C+,"=""1.5126714""","=""1.95165991""","=""2s.2p4""","=""2D""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2P*""","=""1/2""",4,2,,"=""T6172n""","=""L10549""",
O,4,"=""""","=""""","=""207.933""","=""""","=""""","=""1.71e+06""","=""1.11e-03""","=""1.52e-02""",B,"=""5.01007""","=""5.44818""","=""2s.2p.(1P*).3p""","=""2P""","=""1/2""","=""2s.2p.(3P*).4d""","=""2P*""","=""1/2""",2,2,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""208.206""","=""""","=""""","=""8.52e+05""","=""2.77e-04""","=""7.60e-03""",C+,"=""5.01065""","=""5.44818""","=""2s.2p.(1P*).3p""","=""2P""","=""3/2""","=""2s.2p.(3P*).4d""","=""2P*""","=""1/2""",4,2,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""208.580""","=""""","=""""","=""4.24e+05""","=""5.53e-04""","=""7.60e-03""",C+,"=""5.01007""","=""5.4468""","=""2s.2p.(1P*).3p""","=""2P""","=""1/2""","=""2s.2p.(3P*).4d""","=""2P*""","=""3/2""",2,4,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""208.854""","=""""","=""""","=""2.11e+06""","=""1.38e-03""","=""3.80e-02""",B,"=""5.01065""","=""5.4468""","=""2s.2p.(1P*).3p""","=""2P""","=""3/2""","=""2s.2p.(3P*).4d""","=""2P*""","=""3/2""",4,4,,"=""T5109LS""","=""""",
O,2,"=""209.2876""","=""""","=""209.2876""","=""""","=""10""","=""6.69e+06""","=""4.40e-03""","=""1.21e-01""",C,"=""1.92753136""","=""2.3628067""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",4,4,,"=""T5723LS""","=""L10549""",
O,2,"=""""","=""""","=""209.2896""","=""""","=""""","=""4.96e+05""","=""4.89e-04""","=""1.35e-02""",D,"=""1.92753136""","=""2.3628026""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""5/2""",4,6,,"=""T5723LS""","=""L11267""",
O,2,"=""209.9880""","=""""","=""209.9872""","=""""","=""8""","=""""","=""""","=""""",,"=""1.88386932""","=""2.3176948""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""3/2""",2,4,,"=""""","=""L10549""",
O,2,"=""210.0069""","=""""","=""210.0071""","=""""","=""7*""","=""""","=""""","=""""",,"=""1.88520982""","=""2.3189942""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""7/2""",6,8,,"=""""","=""L10549""",
O,2,"=""210.0069""","=""""","=""210.0080""","=""""","=""7*""","=""""","=""""","=""""",,"=""1.88437529""","=""2.3181579""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""5/2""",4,6,,"=""""","=""L10549""",
O,2,"=""210.0664""","=""""","=""210.0725""","=""""","=""8""","=""""","=""""","=""""",,"=""1.88634541""","=""2.3199948""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""9/2""",8,10,,"=""""","=""L10549""",
O,2,"=""""","=""""","=""210.1263""","=""""","=""""","=""7.35e+05""","=""3.25e-04""","=""1.35e-02""",D,"=""1.92926837""","=""2.3628067""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""3/2""",6,4,,"=""T5723LS""","=""L11267""",
O,2,"=""210.1283""","=""""","=""210.1283""","=""""","=""12""","=""6.86e+06""","=""4.54e-03""","=""1.89e-01""",C,"=""1.92926837""","=""2.3628026""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4s""","=""2D""","=""5/2""",6,6,,"=""T5723LS""","=""L10549""",
O,2,"=""210.2325""","=""""","=""210.2324""","=""""","=""6""","=""""","=""""","=""""",,"=""1.88437529""","=""2.3176948""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""3/2""",4,4,,"=""""","=""L10549""",
O,2,"=""210.4133""","=""""","=""210.4128""","=""""","=""6""","=""""","=""""","=""""",,"=""1.88520982""","=""2.3181579""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""5/2""",6,6,,"=""""","=""L10549""",
O,2,"=""""","=""""","=""210.5584""","=""""","=""""","=""""","=""""","=""""",,"=""1.88634541""","=""2.3189942""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""7/2""",8,8,,"=""""","=""L11267""",
O,4,"=""""","=""""","=""210.619""","=""""","=""""","=""1.26e+07""","=""8.38e-03""","=""1.16e-01""",B,"=""5.01007""","=""5.44260""","=""2s.2p.(1P*).3p""","=""2P""","=""1/2""","=""2p2.(3P).3p""","=""2S*""","=""1/2""",2,2,,"=""T5109LS""","=""""",
O,2,"=""""","=""""","=""210.6381""","=""""","=""""","=""""","=""""","=""""",,"=""1.88520982""","=""2.3176948""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""3/2""",6,4,,"=""""","=""L11267""",
O,4,"=""""","=""""","=""210.899""","=""""","=""""","=""2.51e+07""","=""8.37e-03""","=""2.33e-01""",B,"=""5.01065""","=""5.44260""","=""2s.2p.(1P*).3p""","=""2P""","=""3/2""","=""2p2.(3P).3p""","=""2S*""","=""1/2""",4,2,,"=""T5109LS""","=""""",
O,2,"=""""","=""""","=""210.9662""","=""""","=""""","=""""","=""""","=""""",,"=""1.88634541""","=""2.3181579""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).4d""","=""4F""","=""5/2""",8,6,,"=""""","=""L11267""",
O,4,"=""""","=""""","=""211.028""","=""""","=""""","=""8.79e+07""","=""5.87e-02""","=""1.63e+00""",B,"=""5.32673""","=""5.75841""","=""2s.2p.(3P*).4p""","=""2D""","=""3/2""","=""2p2.(1D).3p""","=""2D*""","=""3/2""",4,4,,"=""T5109LS""","=""""",
O,2,"=""""","=""""","=""211.1198""","=""""","=""""","=""1.08e+05""","=""7.22e-05""","=""3.01e-03""",E,"=""2.0842850""","=""2.5157834""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""5/2""",6,6,,"=""T5723LS""","=""""",
O,4,"=""""","=""""","=""211.211""","=""""","=""""","=""1.97e+05""","=""2.64e-04""","=""3.67e-03""",C+,"=""4.556289""","=""4.98760""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""",2,4,,"=""T5109LS""","=""""",
O,2,"=""""","=""""","=""211.2251""","=""""","=""""","=""2.15e+06""","=""1.08e-03""","=""6.01e-02""",D,"=""2.0845001""","=""2.5157834""","=""2s2.2p2.(1D).3p""","=""2F*""","=""7/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""5/2""",8,6,,"=""T5723LS""","=""""",
O,4,"=""""","=""""","=""211.273""","=""""","=""""","=""2.36e+05""","=""2.37e-04""","=""6.60e-03""",C+,"=""4.556680""","=""4.98787""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p.(1P*).3p""","=""2D""","=""5/2""",4,6,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""211.402""","=""""","=""""","=""3.93e+04""","=""2.63e-05""","=""7.34e-04""",D,"=""4.556680""","=""4.98760""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""",4,4,,"=""T5109LS""","=""""",
O,2,"=""""","=""""","=""211.5280""","=""""","=""""","=""2.25e+06""","=""1.01e-03""","=""4.21e-02""",D,"=""2.0842850""","=""2.5149508""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""","=""2s2.2p2.(1S).3d""","=""2D""","=""3/2""",6,4,,"=""T5723LS""","=""""",
O,4,"=""""","=""""","=""212.013""","=""""","=""""","=""9.63e+06""","=""4.33e-03""","=""1.81e-01""",B,"=""5.32873""","=""5.75841""","=""2s.2p.(3P*).4p""","=""2D""","=""5/2""","=""2p2.(1D).3p""","=""2D*""","=""3/2""",6,4,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""212.058""","=""""","=""""","=""1.05e+08""","=""7.08e-02""","=""9.89e-01""",B,"=""4.257707""","=""4.687296""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""",2,2,,"=""T5109LS""","=""""",
O,2,"=""212.3202""","=""""","=""212.3182""","=""""","=""8""","=""5.00e+06""","=""3.38e-03""","=""9.46e-02""",C,"=""1.92753136""","=""2.3565945""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""",4,4,,"=""T5723LS""","=""L10549""",
O,4,"=""""","=""""","=""212.579""","=""""","=""""","=""5.23e+07""","=""1.77e-02""","=""4.96e-01""",B,"=""4.258760""","=""4.687296""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""",4,2,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""212.739""","=""""","=""""","=""2.61e+07""","=""3.54e-02""","=""4.97e-01""",B,"=""4.257707""","=""4.685921""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""",2,4,,"=""T5109LS""","=""""",
O,2,"=""213.1818""","=""""","=""213.1813""","=""""","=""12""","=""4.45e+07""","=""2.02e-02""","=""8.52e-01""",C,"=""1.92926837""","=""2.3565945""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""3/2""",6,4,,"=""T5723LS""","=""L10549""",
O,2,"=""213.1997""","=""""","=""213.2017""","=""""","=""10""","=""4.94e+07""","=""1.68e-02""","=""4.73e-01""",C,"=""1.92753136""","=""2.3548167""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""2P""","=""1/2""",4,2,,"=""T5723LS""","=""L10549""",
O,4,"=""""","=""""","=""213.264""","=""""","=""""","=""1.29e+08""","=""8.80e-02""","=""2.47e+00""",B,"=""4.258760""","=""4.685921""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""",4,4,,"=""T5109LS""","=""""",
O,2,"=""214.8222""","=""""","=""214.8220""","=""""","=""1*""","=""""","=""""","=""""",,"=""1.89984784""","=""2.3239108""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""7/2""",6,8,,"=""""","=""L10621""",
O,2,"=""214.8222""","=""""","=""214.8232""","=""""","=""1*""","=""""","=""""","=""""",,"=""1.89858940""","=""2.3226499""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""3/2""",2,4,,"=""""","=""L10621""",
O,2,"=""""","=""""","=""214.9669""","=""""","=""""","=""""","=""""","=""""",,"=""1.89900998""","=""2.3227871""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""4D""","=""5/2""",4,6,,"=""""","=""L11267""",
O,3,"=""""","=""""","=""215.3304""","=""""","=""""","=""9.49e+04""","=""2.20e-05""","=""4.68e-04""",C,"=""2.4365195""","=""2.8595812""","=""2s2.2p.(2P*).3s""","=""3P*""","=""1""","=""2s2.2p.(2P*).3p""","=""1S""","=""0""",3,1,,"=""u24""","=""""",
O,4,"=""""","=""""","=""215.533""","=""""","=""""","=""2.11e+06""","=""2.21e-03""","=""6.26e-02""",B,"=""4.98760""","=""5.41027""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""","=""2s.2p.(3P*).4d""","=""2D*""","=""5/2""",4,6,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""215.668""","=""""","=""""","=""2.95e+07""","=""2.06e-02""","=""8.77e-01""",B,"=""4.98787""","=""5.41027""","=""2s.2p.(1P*).3p""","=""2D""","=""5/2""","=""2s.2p.(3P*).4d""","=""2D*""","=""5/2""",6,6,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""215.910""","=""""","=""""","=""2.83e+07""","=""1.98e-02""","=""5.63e-01""",B,"=""4.98760""","=""5.40953""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""","=""2s.2p.(3P*).4d""","=""2D*""","=""3/2""",4,4,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""216.046""","=""""","=""""","=""3.14e+06""","=""1.47e-03""","=""6.26e-02""",B,"=""4.98787""","=""5.40953""","=""2s.2p.(1P*).3p""","=""2D""","=""5/2""","=""2s.2p.(3P*).4d""","=""2D*""","=""3/2""",6,4,,"=""T5109LS""","=""""",
O,3,"=""""","=""""","=""216.5390""","=""""","=""""","=""1.68e+07""","=""1.18e-02""","=""4.21e-01""",C+,"=""2.9592090""","=""3.3799097""","=""2s2.2p.(2P*).3d""","=""1D*""","=""2""","=""2s2.2p.(2P*).4p""","=""1D""","=""2""",5,5,,"=""T5376""","=""""",
O,2,"=""""","=""""","=""217.051""","=""""","=""""","=""3.67e+04""","=""3.46e-05""","=""1.48e-03""",E,"=""2.0842850""","=""2.503993""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""7/2""",6,8,,"=""T5723LS""","=""""",
O,2,"=""""","=""""","=""217.162""","=""""","=""""","=""9.91e+05""","=""7.01e-04""","=""4.01e-02""",D,"=""2.0845001""","=""2.503993""","=""2s2.2p2.(1D).3p""","=""2F*""","=""7/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""7/2""",8,8,,"=""T5723LS""","=""""",
O,2,"=""""","=""""","=""217.2206""","=""""","=""""","=""7.59e+05""","=""3.58e-04""","=""1.54e-02""",C,"=""1.8860647""","=""2.3054454""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(1S).3p""","=""2P*""","=""3/2""",6,4,,"=""T5723LS""","=""""",
O,2,"=""""","=""""","=""217.2256""","=""""","=""""","=""8.43e+04""","=""5.97e-05""","=""1.71e-03""",D,"=""1.8860742""","=""2.3054454""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p2.(1S).3p""","=""2P*""","=""3/2""",4,4,,"=""T5723LS""","=""""",
O,2,"=""""","=""""","=""217.244""","=""""","=""""","=""9.77e+05""","=""6.92e-04""","=""2.97e-02""",D,"=""2.0842850""","=""2.503621""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""5/2""",6,6,,"=""T5723LS""","=""""",
O,2,"=""""","=""""","=""217.2546""","=""""","=""""","=""8.43e+05""","=""2.98e-04""","=""8.54e-03""",D,"=""1.8860742""","=""2.3053893""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p2.(1S).3p""","=""2P*""","=""1/2""",4,2,,"=""T5723LS""","=""""",
O,2,"=""""","=""""","=""217.355""","=""""","=""""","=""4.88e+04""","=""2.59e-05""","=""1.49e-03""",E,"=""2.0845001""","=""2.503621""","=""2s2.2p2.(1D).3p""","=""2F*""","=""7/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""5/2""",8,6,,"=""T5723LS""","=""""",
O,4,"=""""","=""""","=""218.054""","=""""","=""""","=""3.60e+05""","=""3.85e-04""","=""1.11e-02""",B,"=""4.570088""","=""4.98787""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""2s.2p.(1P*).3p""","=""2D""","=""5/2""",4,6,,"=""T5109LS""","=""""",
O,3,"=""""","=""""","=""218.1571""","=""""","=""""","=""4.40e+05""","=""1.88e-04""","=""6.77e-03""",C,"=""2.5858086""","=""3.0033894""","=""2p4""","=""3P""","=""2""","=""2s2.2p.(2P*).3d""","=""3P*""","=""1""",5,3,,"=""T5376,T5791,LS""","=""""",
O,4,"=""""","=""""","=""218.192""","=""""","=""""","=""4.85e+06""","=""3.46e-03""","=""9.96e-02""",B,"=""4.570088""","=""4.98760""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""",4,4,,"=""T5109LS""","=""""",
O,2,"=""218.2580""","=""""","=""218.2569""","=""""","=""4""","=""1.15e+07""","=""1.23e-02""","=""3.54e-01""",C,"=""1.93336132""","=""2.3507510""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",4,6,,"=""T5723LS""","=""L10621""",
O,4,"=""""","=""""","=""218.317""","=""""","=""""","=""5.02e+06""","=""3.59e-03""","=""1.55e-01""",B,"=""4.570591""","=""4.98787""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""2s.2p.(1P*).3p""","=""2D""","=""5/2""",6,6,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""218.455""","=""""","=""""","=""5.37e+05""","=""2.56e-04""","=""1.11e-02""",B,"=""4.570591""","=""4.98760""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""",6,4,,"=""T5109LS""","=""""",
O,2,"=""""","=""""","=""218.6338""","=""""","=""""","=""9.17e+04""","=""6.58e-05""","=""2.84e-03""",C,"=""1.5125981""","=""1.92926837""","=""2s.2p4""","=""2D""","=""5/2""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""",6,6,,"=""T6172""","=""""",
O,3,"=""""","=""""","=""218.7016""","=""""","=""""","=""7.85e+05""","=""5.63e-04""","=""2.03e-02""",C,"=""2.5858086""","=""3.0023497""","=""2p4""","=""3P""","=""2""","=""2s2.2p.(2P*).3d""","=""3P*""","=""2""",5,5,,"=""T5376,T5791,LS""","=""""",
O,3,"=""""","=""""","=""218.9045""","=""""","=""""","=""1.04e+06""","=""2.49e-04""","=""5.39e-03""",C,"=""2.5877925""","=""3.0039475""","=""2p4""","=""3P""","=""1""","=""2s2.2p.(2P*).3d""","=""3P*""","=""0""",3,1,,"=""T5376,T5791,LS""","=""""",
O,2,"=""219.0481""","=""""","=""219.0469""","=""""","=""4""","=""1.13e+07""","=""8.13e-03""","=""2.35e-01""",C,"=""1.93336132""","=""2.3492458""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",4,4,,"=""T5723LS""","=""L10621""",
O,3,"=""""","=""""","=""219.1985""","=""""","=""""","=""2.60e+05""","=""1.87e-04""","=""4.06e-03""",C,"=""2.5877925""","=""3.0033894""","=""2p4""","=""3P""","=""1""","=""2s2.2p.(2P*).3d""","=""3P*""","=""1""",3,3,,"=""T5376,T5791,LS""","=""""",
O,2,"=""219.5464""","=""""","=""219.5482""","=""""","=""3""","=""1.13e+07""","=""4.09e-03""","=""1.18e-01""",C,"=""1.93336132""","=""2.3482964""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",4,2,,"=""T5723LS""","=""L10621""",
